user_id,event_type,event_ts,campaign_id,campaign_name,channel,order_id,order_value
u_01306,click,2025-07-20 03:09:10,SEA-001,Brand Search,Paid Search,,
u_01588,purchase,2025-07-20 03:09:18,,,,580c84a4-3dcd-46fd-90a5-46121f46bf1c,80.25
u_01264,purchase,2025-07-20 03:12:54,,,,11be7351-5a6d-44ee-b8a7-9b4ba79a927f,304.32
u_00116,click,2025-07-20 03:23:25,DSP-100,Awareness Blast,Display,,
u_00396,purchase,2025-07-20 03:38:11,,,,7150cab8-edd3-46ce-a665-0371e3b5e136,77.18
u_00417,click,2025-07-20 03:41:09,AFF-200,Top Affiliates,Affiliate,,
u_01515,click,2025-07-20 03:42:11,AFF-200,Top Affiliates,Affiliate,,
u_00530,purchase,2025-07-20 03:50:57,,,,cce400ef-86db-4d3c-a6f2-87e17f71fe2a,80.28
u_01380,purchase,2025-07-20 03:51:55,,,,dc17fa8f-0970-40c6-9c9d-9491b373f958,90.83
u_01583,click,2025-07-20 03:52:01,SOC-011,Back-to-School,Paid Social,,
u_01765,purchase,2025-07-20 03:55:45,,,,64c041d8-9117-4fb1-b030-0f7da47b9b73,89.65
u_01854,click,2025-07-20 03:56:15,AFF-200,Top Affiliates,Affiliate,,
u_00584,click,2025-07-20 03:56:31,SEA-002,Competitor Conquest,Paid Search,,
u_01028,purchase,2025-07-20 04:02:20,,,,a87e6102-6088-4b4e-9101-24f5b1661252,70.34
u_01583,click,2025-07-20 04:05:45,AFF-200,Top Affiliates,Affiliate,,
u_00508,purchase,2025-07-20 04:05:50,,,,655ea592-1a8a-4201-87c6-656e44bc6b5a,327.87
u_01319,click,2025-07-20 04:10:29,SEA-002,Competitor Conquest,Paid Search,,
u_00262,click,2025-07-20 04:26:29,AFF-200,Top Affiliates,Affiliate,,
u_01777,purchase,2025-07-20 04:28:24,,,,9b4f5a2c-4c95-4311-9f51-b2b4bce37783,67.96
u_01902,click,2025-07-20 04:34:19,SOC-010,Summer Splash,Paid Social,,
u_01272,click,2025-07-20 04:37:43,SEA-002,Competitor Conquest,Paid Search,,
u_01534,click,2025-07-20 04:40:06,SOC-011,Back-to-School,Paid Social,,
u_01836,click,2025-07-20 04:43:30,SEA-001,Brand Search,Paid Search,,
u_00151,click,2025-07-20 04:57:37,SOC-010,Summer Splash,Paid Social,,
u_01641,click,2025-07-20 05:05:23,SEA-001,Brand Search,Paid Search,,
u_00815,click,2025-07-20 05:11:30,DSP-100,Awareness Blast,Display,,
u_01272,click,2025-07-20 05:17:33,SEA-001,Brand Search,Paid Search,,
u_01244,click,2025-07-20 05:20:29,DSP-100,Awareness Blast,Display,,
u_00586,click,2025-07-20 05:26:41,AFF-200,Top Affiliates,Affiliate,,
u_00974,click,2025-07-20 05:37:25,SOC-011,Back-to-School,Paid Social,,
u_01821,click,2025-07-20 05:38:43,SOC-010,Summer Splash,Paid Social,,
u_01715,click,2025-07-20 05:47:07,SEA-001,Brand Search,Paid Search,,
u_00851,click,2025-07-20 05:48:43,SEA-001,Brand Search,Paid Search,,
u_01820,click,2025-07-20 05:51:37,SEA-001,Brand Search,Paid Search,,
u_01212,click,2025-07-20 05:52:44,SOC-011,Back-to-School,Paid Social,,
u_01384,click,2025-07-20 05:53:19,SEA-001,Brand Search,Paid Search,,
u_00610,click,2025-07-20 06:01:24,AFF-200,Top Affiliates,Affiliate,,
u_00837,click,2025-07-20 06:08:12,DSP-100,Awareness Blast,Display,,
u_01902,click,2025-07-20 06:20:31,DSP-100,Awareness Blast,Display,,
u_00034,click,2025-07-20 06:22:07,SEA-002,Competitor Conquest,Paid Search,,
u_01225,purchase,2025-07-20 06:27:39,,,,4bc91b9f-1c60-44ac-9dae-63c1ed583eb5,162.37
u_00088,click,2025-07-20 06:42:42,SEA-002,Competitor Conquest,Paid Search,,
u_00562,purchase,2025-07-20 06:44:44,,,,80fb50b5-e063-480c-a7e9-1c85c58727a0,56.62
u_00242,click,2025-07-20 06:49:54,DSP-100,Awareness Blast,Display,,
u_00956,click,2025-07-20 06:53:36,SOC-011,Back-to-School,Paid Social,,
u_00881,click,2025-07-20 07:00:16,SOC-011,Back-to-School,Paid Social,,
u_01353,click,2025-07-20 07:00:56,SEA-002,Competitor Conquest,Paid Search,,
u_01314,click,2025-07-20 07:15:23,SEA-002,Competitor Conquest,Paid Search,,
u_00808,click,2025-07-20 07:15:40,SEA-002,Competitor Conquest,Paid Search,,
u_00861,click,2025-07-20 07:16:46,AFF-200,Top Affiliates,Affiliate,,
u_00185,click,2025-07-20 07:17:50,SOC-010,Summer Splash,Paid Social,,
u_00704,click,2025-07-20 07:22:33,SOC-011,Back-to-School,Paid Social,,
u_01659,click,2025-07-20 07:34:01,SEA-002,Competitor Conquest,Paid Search,,
u_01822,purchase,2025-07-20 07:36:02,,,,52d269bb-17db-44e5-81e4-6c603297946a,83.2
u_00584,click,2025-07-20 07:36:26,SEA-001,Brand Search,Paid Search,,
u_01074,click,2025-07-20 07:37:44,DSP-100,Awareness Blast,Display,,
u_01730,click,2025-07-20 07:39:24,SEA-001,Brand Search,Paid Search,,
u_01244,click,2025-07-20 07:44:37,SEA-001,Brand Search,Paid Search,,
u_00333,click,2025-07-20 07:48:11,SEA-002,Competitor Conquest,Paid Search,,
u_01460,click,2025-07-20 07:57:01,SOC-011,Back-to-School,Paid Social,,
u_01730,click,2025-07-20 08:00:35,SEA-002,Competitor Conquest,Paid Search,,
u_01194,click,2025-07-20 08:02:06,SOC-010,Summer Splash,Paid Social,,
u_01424,click,2025-07-20 08:03:12,DSP-100,Awareness Blast,Display,,
u_00319,purchase,2025-07-20 08:03:37,,,,00b02c83-84bb-4d69-926c-f8b89df80dbf,52.27
u_00145,click,2025-07-20 08:04:52,SOC-011,Back-to-School,Paid Social,,
u_00848,click,2025-07-20 08:08:40,SEA-002,Competitor Conquest,Paid Search,,
u_01806,click,2025-07-20 08:20:09,SOC-010,Summer Splash,Paid Social,,
u_01193,purchase,2025-07-20 08:28:48,,,,14f57cf3-e2a2-4227-9ed8-b54ca01225c7,75.75
u_00881,click,2025-07-20 08:33:11,DSP-100,Awareness Blast,Display,,
u_00024,purchase,2025-07-20 08:33:46,,,,f4cac69b-4179-419a-ab6e-1beb2329c588,36.98
u_00343,purchase,2025-07-20 08:41:13,,,,d9f5dfd3-f387-4d12-80b7-3e5ad8c5302c,110.0
u_01836,click,2025-07-20 08:47:38,DSP-100,Awareness Blast,Display,,
u_00973,purchase,2025-07-20 08:47:47,,,,25be771c-115a-4cad-94a3-3c2f12573e44,182.51
u_00279,click,2025-07-20 08:48:48,AFF-200,Top Affiliates,Affiliate,,
u_00779,click,2025-07-20 08:57:10,DSP-100,Awareness Blast,Display,,
u_01902,click,2025-07-20 09:00:43,SOC-011,Back-to-School,Paid Social,,
u_01533,click,2025-07-20 09:06:06,SOC-010,Summer Splash,Paid Social,,
u_01449,purchase,2025-07-20 09:06:07,,,,b10d9fa2-61b3-471b-bc0a-77964f7592d9,60.73
u_00591,click,2025-07-20 09:11:13,AFF-200,Top Affiliates,Affiliate,,
u_01384,click,2025-07-20 09:16:07,SOC-010,Summer Splash,Paid Social,,
u_01071,purchase,2025-07-20 09:17:45,,,,c544ec94-bff7-40ee-862b-f6513ccbfc04,189.46
u_01395,click,2025-07-20 09:19:36,SOC-010,Summer Splash,Paid Social,,
u_00453,click,2025-07-20 09:21:12,SOC-010,Summer Splash,Paid Social,,
u_01437,click,2025-07-20 09:23:03,SOC-011,Back-to-School,Paid Social,,
u_00280,click,2025-07-20 09:37:30,SEA-002,Competitor Conquest,Paid Search,,
u_01681,click,2025-07-20 09:44:41,DSP-100,Awareness Blast,Display,,
u_01020,click,2025-07-20 09:54:59,SOC-010,Summer Splash,Paid Social,,
u_00078,click,2025-07-20 09:55:39,SOC-010,Summer Splash,Paid Social,,
u_01643,purchase,2025-07-20 09:58:51,,,,25f66123-df37-4677-941a-bf56f57038bb,100.13
u_01212,click,2025-07-20 09:58:52,SOC-010,Summer Splash,Paid Social,,
u_00104,purchase,2025-07-20 10:00:00,,,,a995e3b9-26d3-4e44-8318-35e62d4b3356,136.75
u_00001,click,2025-07-20 10:08:03,SEA-001,Brand Search,Paid Search,,
u_00591,click,2025-07-20 10:13:44,SEA-002,Competitor Conquest,Paid Search,,
u_01564,purchase,2025-07-20 10:16:13,,,,120fbf54-50f2-4a08-80f8-d273d3a59700,125.07
u_00936,purchase,2025-07-20 10:17:29,,,,706771c2-3007-4699-ada2-28614f4fa65f,44.75
u_01709,click,2025-07-20 10:32:32,SEA-002,Competitor Conquest,Paid Search,,
u_00240,click,2025-07-20 10:45:51,SEA-002,Competitor Conquest,Paid Search,,
u_01965,purchase,2025-07-20 10:50:13,,,,67a6e5c2-df4b-4bd0-b1a3-2dee51faedc6,59.87
u_00258,click,2025-07-20 10:55:21,SEA-002,Competitor Conquest,Paid Search,,
u_00199,click,2025-07-20 10:57:29,AFF-200,Top Affiliates,Affiliate,,
u_00606,click,2025-07-20 10:57:34,AFF-200,Top Affiliates,Affiliate,,
u_00151,click,2025-07-20 10:58:36,DSP-100,Awareness Blast,Display,,
u_00192,purchase,2025-07-20 10:58:53,,,,36e64485-2461-454a-8caa-a545c1b40cdd,90.74
u_01706,click,2025-07-20 10:59:20,AFF-200,Top Affiliates,Affiliate,,
u_00974,click,2025-07-20 11:15:42,SOC-010,Summer Splash,Paid Social,,
u_01979,purchase,2025-07-20 11:15:43,,,,a004bc35-b3c1-4b35-972f-6a6906986b7e,152.92
u_00472,click,2025-07-20 11:18:16,SEA-002,Competitor Conquest,Paid Search,,
u_00041,click,2025-07-20 11:19:05,AFF-200,Top Affiliates,Affiliate,,
u_00969,purchase,2025-07-20 11:25:55,,,,e2c06f2e-7eb4-4e1b-a70b-b47ef333c588,182.89
u_01660,purchase,2025-07-20 11:26:32,,,,0799d3f4-ffb1-4d1f-bf08-ddd7c986f7d8,259.7
u_01902,click,2025-07-20 11:26:38,SEA-001,Brand Search,Paid Search,,
u_00023,click,2025-07-20 11:29:07,SOC-010,Summer Splash,Paid Social,,
u_01536,click,2025-07-20 11:31:26,SEA-001,Brand Search,Paid Search,,
u_00485,click,2025-07-20 11:36:38,SOC-011,Back-to-School,Paid Social,,
u_01395,click,2025-07-20 11:38:58,SEA-002,Competitor Conquest,Paid Search,,
u_00256,purchase,2025-07-20 11:42:31,,,,d270361d-ce93-420b-bc60-1aedc241cc8c,52.12
u_00827,click,2025-07-20 11:47:02,SEA-002,Competitor Conquest,Paid Search,,
u_01074,click,2025-07-20 11:50:24,SEA-002,Competitor Conquest,Paid Search,,
u_01019,click,2025-07-20 11:53:34,DSP-100,Awareness Blast,Display,,
u_00684,purchase,2025-07-20 11:58:28,,,,b03befa5-c32a-4f65-893f-55158b697811,99.14
u_00351,click,2025-07-20 11:58:36,SOC-010,Summer Splash,Paid Social,,
u_01839,click,2025-07-20 12:00:40,SEA-002,Competitor Conquest,Paid Search,,
u_00726,click,2025-07-20 12:15:16,SOC-011,Back-to-School,Paid Social,,
u_00834,click,2025-07-20 12:18:26,SOC-011,Back-to-School,Paid Social,,
u_00106,click,2025-07-20 12:29:10,SEA-002,Competitor Conquest,Paid Search,,
u_00851,click,2025-07-20 12:30:39,SOC-011,Back-to-School,Paid Social,,
u_01013,click,2025-07-20 12:33:23,SOC-011,Back-to-School,Paid Social,,
u_00393,click,2025-07-20 12:35:49,DSP-100,Awareness Blast,Display,,
u_00486,click,2025-07-20 12:37:16,AFF-200,Top Affiliates,Affiliate,,
u_01839,click,2025-07-20 12:42:40,SOC-010,Summer Splash,Paid Social,,
u_00861,click,2025-07-20 12:53:38,SEA-002,Competitor Conquest,Paid Search,,
u_00626,click,2025-07-20 12:55:46,AFF-200,Top Affiliates,Affiliate,,
u_00670,click,2025-07-20 13:03:14,SEA-001,Brand Search,Paid Search,,
u_00171,click,2025-07-20 13:05:01,DSP-100,Awareness Blast,Display,,
u_00970,click,2025-07-20 13:30:17,SEA-001,Brand Search,Paid Search,,
u_01417,click,2025-07-20 13:37:32,DSP-100,Awareness Blast,Display,,
u_01545,click,2025-07-20 13:37:36,DSP-100,Awareness Blast,Display,,
u_00307,click,2025-07-20 13:42:26,DSP-100,Awareness Blast,Display,,
u_01644,purchase,2025-07-20 13:46:10,,,,4e79efa5-127b-4c0b-8e13-f963cef9cadb,100.05
u_00842,click,2025-07-20 13:46:33,AFF-200,Top Affiliates,Affiliate,,
u_01709,click,2025-07-20 13:57:05,SEA-001,Brand Search,Paid Search,,
u_00985,click,2025-07-20 13:57:38,SEA-001,Brand Search,Paid Search,,
u_01641,click,2025-07-20 14:20:18,SOC-011,Back-to-School,Paid Social,,
u_00549,purchase,2025-07-20 14:24:28,,,,0801abc0-6581-4d28-a2d3-398330bec96e,74.43
u_01163,purchase,2025-07-20 14:26:01,,,,02eae647-3130-47c6-9344-af829a80c49b,258.03
u_00980,click,2025-07-20 14:30:27,SEA-001,Brand Search,Paid Search,,
u_00593,click,2025-07-20 14:33:33,SOC-011,Back-to-School,Paid Social,,
u_01493,click,2025-07-20 14:37:44,SEA-001,Brand Search,Paid Search,,
u_01244,click,2025-07-20 14:46:58,SEA-002,Competitor Conquest,Paid Search,,
u_00485,click,2025-07-20 14:51:13,AFF-200,Top Affiliates,Affiliate,,
u_00310,purchase,2025-07-20 15:01:07,,,,db7210b4-bcaa-48e8-a103-abce73f8e376,64.34
u_01403,purchase,2025-07-20 15:03:21,,,,d08b46c9-4b9f-4f9a-8efc-2f224b81306f,433.72
u_00874,purchase,2025-07-20 15:04:14,,,,05bc91a4-8987-4bd0-8dca-cff7ee5f3ac4,46.46
u_00861,click,2025-07-20 15:07:40,SOC-010,Summer Splash,Paid Social,,
u_00871,purchase,2025-07-20 15:27:30,,,,e7c4aefc-c6fb-4e54-bcb1-cb2da3c22138,156.95
u_01460,click,2025-07-20 15:28:54,SEA-002,Competitor Conquest,Paid Search,,
u_00610,click,2025-07-20 15:31:53,SEA-001,Brand Search,Paid Search,,
u_01970,click,2025-07-20 15:51:02,SEA-001,Brand Search,Paid Search,,
u_00232,purchase,2025-07-20 15:59:48,,,,4602aabf-7ce7-4e35-a83c-23480560063c,110.39
u_01922,click,2025-07-20 16:03:16,DSP-100,Awareness Blast,Display,,
u_01380,click,2025-07-20 16:03:43,SEA-002,Competitor Conquest,Paid Search,,
u_00079,click,2025-07-20 16:10:51,SOC-010,Summer Splash,Paid Social,,
u_01852,click,2025-07-20 16:20:29,DSP-100,Awareness Blast,Display,,
u_00255,purchase,2025-07-20 16:24:49,,,,66a7463f-c9b8-49b2-924d-34a539aadc52,44.25
u_01745,click,2025-07-20 16:25:23,SEA-002,Competitor Conquest,Paid Search,,
u_00464,purchase,2025-07-20 16:32:15,,,,41761efb-c75f-4e9b-917a-8e182acb1704,137.62
u_01351,click,2025-07-20 16:35:54,SOC-010,Summer Splash,Paid Social,,
u_01009,click,2025-07-20 16:39:53,SEA-002,Competitor Conquest,Paid Search,,
u_00956,click,2025-07-20 16:46:50,SEA-001,Brand Search,Paid Search,,
u_00285,click,2025-07-20 16:50:10,SEA-001,Brand Search,Paid Search,,
u_01836,click,2025-07-20 16:52:38,SOC-010,Summer Splash,Paid Social,,
u_00974,click,2025-07-20 16:53:44,AFF-200,Top Affiliates,Affiliate,,
u_01194,purchase,2025-07-20 16:56:36,,,,0f7b373c-5317-4acb-9f38-197f6873386e,145.48
u_00525,click,2025-07-20 17:02:40,SEA-001,Brand Search,Paid Search,,
u_01730,click,2025-07-20 17:06:27,SOC-010,Summer Splash,Paid Social,,
u_00807,click,2025-07-20 17:06:42,SEA-002,Competitor Conquest,Paid Search,,
u_00538,click,2025-07-20 17:10:16,SEA-002,Competitor Conquest,Paid Search,,
u_01561,click,2025-07-20 17:24:31,SOC-010,Summer Splash,Paid Social,,
u_01339,click,2025-07-20 17:26:06,DSP-100,Awareness Blast,Display,,
u_01768,click,2025-07-20 17:29:53,SEA-001,Brand Search,Paid Search,,
u_01601,click,2025-07-20 17:49:00,SEA-001,Brand Search,Paid Search,,
u_00926,click,2025-07-20 17:59:17,SOC-011,Back-to-School,Paid Social,,
u_00593,click,2025-07-20 18:04:26,DSP-100,Awareness Blast,Display,,
u_00199,purchase,2025-07-20 18:05:08,,,,4bf95793-66b7-4c3d-910f-1e18dbdec923,61.9
u_00670,click,2025-07-20 18:15:56,SOC-010,Summer Splash,Paid Social,,
u_00601,click,2025-07-20 18:16:20,AFF-200,Top Affiliates,Affiliate,,
u_00933,click,2025-07-20 18:18:31,SOC-011,Back-to-School,Paid Social,,
u_01118,click,2025-07-20 18:32:07,DSP-100,Awareness Blast,Display,,
u_00485,click,2025-07-20 18:46:38,SEA-001,Brand Search,Paid Search,,
u_01733,click,2025-07-20 18:49:49,SEA-002,Competitor Conquest,Paid Search,,
u_00269,click,2025-07-20 18:55:16,SEA-001,Brand Search,Paid Search,,
u_01664,click,2025-07-20 18:55:54,DSP-100,Awareness Blast,Display,,
u_01128,click,2025-07-20 19:01:12,AFF-200,Top Affiliates,Affiliate,,
u_01115,click,2025-07-20 19:01:17,DSP-100,Awareness Blast,Display,,
u_00961,click,2025-07-20 19:14:40,SEA-002,Competitor Conquest,Paid Search,,
u_00723,click,2025-07-20 19:15:22,AFF-200,Top Affiliates,Affiliate,,
u_00466,click,2025-07-20 19:18:38,SEA-001,Brand Search,Paid Search,,
u_01010,click,2025-07-20 19:19:50,AFF-200,Top Affiliates,Affiliate,,
u_01019,click,2025-07-20 19:23:26,SEA-002,Competitor Conquest,Paid Search,,
u_01664,click,2025-07-20 19:27:01,AFF-200,Top Affiliates,Affiliate,,
u_01477,purchase,2025-07-20 19:28:58,,,,e79bcba3-2d11-42a4-b17a-978712726fa7,51.28
u_00066,purchase,2025-07-20 19:31:33,,,,d8ba8940-f43d-4355-8fc5-fb1b63e597a4,25.57
u_00542,click,2025-07-20 19:33:43,SEA-001,Brand Search,Paid Search,,
u_00886,click,2025-07-20 19:44:02,SEA-001,Brand Search,Paid Search,,
u_01452,click,2025-07-20 19:45:17,SOC-011,Back-to-School,Paid Social,,
u_00248,click,2025-07-20 19:46:26,SEA-002,Competitor Conquest,Paid Search,,
u_00600,purchase,2025-07-20 19:58:19,,,,ddff600f-921d-4fc7-bb82-9cb380f010cf,227.67
u_00751,click,2025-07-20 20:01:35,SOC-010,Summer Splash,Paid Social,,
u_00526,click,2025-07-20 20:09:32,SEA-001,Brand Search,Paid Search,,
u_01424,click,2025-07-20 20:12:22,AFF-200,Top Affiliates,Affiliate,,
u_01214,click,2025-07-20 20:22:04,SOC-011,Back-to-School,Paid Social,,
u_00223,click,2025-07-20 20:29:15,AFF-200,Top Affiliates,Affiliate,,
u_00900,click,2025-07-20 20:33:44,AFF-200,Top Affiliates,Affiliate,,
u_01848,purchase,2025-07-20 20:33:49,,,,9ae9c9d3-a8f6-4aae-a264-9803570dee92,61.04
u_01384,click,2025-07-20 20:38:48,AFF-200,Top Affiliates,Affiliate,,
u_01434,purchase,2025-07-20 20:43:25,,,,d0a8e4d1-1bfc-463f-8eaa-ac2d906a0855,159.66
u_01634,purchase,2025-07-20 20:47:47,,,,7c448dc9-3bb0-4e9e-91c6-a4fc41eab8fc,108.56
u_01244,click,2025-07-20 20:53:29,SOC-011,Back-to-School,Paid Social,,
u_00726,click,2025-07-20 20:55:18,SEA-001,Brand Search,Paid Search,,
u_01385,click,2025-07-20 20:58:24,SEA-002,Competitor Conquest,Paid Search,,
u_00243,click,2025-07-20 21:04:34,AFF-200,Top Affiliates,Affiliate,,
u_01084,click,2025-07-20 21:04:46,SEA-001,Brand Search,Paid Search,,
u_00008,click,2025-07-20 21:11:38,DSP-100,Awareness Blast,Display,,
u_01460,click,2025-07-20 21:14:01,SEA-001,Brand Search,Paid Search,,
u_01792,purchase,2025-07-20 21:14:18,,,,1297ca9a-7b0b-4a65-8b7b-796b968fefe8,174.45
u_00453,purchase,2025-07-20 21:14:30,,,,619ea5aa-8f63-4861-b640-393239cccbbf,177.77
u_01938,click,2025-07-20 21:25:54,SEA-001,Brand Search,Paid Search,,
u_01447,click,2025-07-20 21:27:22,SOC-010,Summer Splash,Paid Social,,
u_01384,click,2025-07-20 21:29:22,DSP-100,Awareness Blast,Display,,
u_01447,click,2025-07-20 21:33:26,SEA-002,Competitor Conquest,Paid Search,,
u_01213,purchase,2025-07-20 21:39:58,,,,3a56ca04-f888-48cc-871f-febf83f79e28,48.12
u_01331,click,2025-07-20 21:40:02,SEA-001,Brand Search,Paid Search,,
u_01311,click,2025-07-20 21:44:30,SOC-010,Summer Splash,Paid Social,,
u_00893,click,2025-07-20 22:03:56,SEA-001,Brand Search,Paid Search,,
u_01797,purchase,2025-07-20 22:04:08,,,,d01480f9-0bbd-431f-8120-51dd8a582586,16.67
u_00008,click,2025-07-20 22:04:41,SEA-001,Brand Search,Paid Search,,
u_00227,click,2025-07-20 22:05:26,DSP-100,Awareness Blast,Display,,
u_00797,click,2025-07-20 22:14:37,SOC-010,Summer Splash,Paid Social,,
u_01768,click,2025-07-20 22:15:22,SOC-011,Back-to-School,Paid Social,,
u_01156,click,2025-07-20 22:15:58,SOC-011,Back-to-School,Paid Social,,
u_00469,purchase,2025-07-20 22:23:31,,,,276e9230-8de9-4a42-94ed-b47954ffe78a,29.65
u_00805,click,2025-07-20 22:27:43,SOC-010,Summer Splash,Paid Social,,
u_01149,click,2025-07-20 22:36:58,SEA-001,Brand Search,Paid Search,,
u_01353,click,2025-07-20 22:37:02,AFF-200,Top Affiliates,Affiliate,,
u_01365,click,2025-07-20 22:43:08,SOC-010,Summer Splash,Paid Social,,
u_00085,purchase,2025-07-20 22:52:33,,,,c3448bad-1f84-4451-be69-17221c5a00f1,102.9
u_01527,click,2025-07-20 22:54:36,DSP-100,Awareness Blast,Display,,
u_01025,click,2025-07-20 22:55:42,SEA-002,Competitor Conquest,Paid Search,,
u_00642,click,2025-07-20 23:06:03,AFF-200,Top Affiliates,Affiliate,,
u_00023,click,2025-07-20 23:07:11,SOC-011,Back-to-School,Paid Social,,
u_01775,click,2025-07-20 23:07:12,AFF-200,Top Affiliates,Affiliate,,
u_00185,click,2025-07-20 23:08:49,SEA-002,Competitor Conquest,Paid Search,,
u_00259,purchase,2025-07-20 23:09:20,,,,ee3ecd37-2839-4e79-990e-64040e29d075,120.19
u_00564,purchase,2025-07-20 23:16:28,,,,3688426c-d972-464a-92dd-0f0928561351,48.22
u_00933,click,2025-07-20 23:18:06,DSP-100,Awareness Blast,Display,,
u_01561,click,2025-07-20 23:19:08,AFF-200,Top Affiliates,Affiliate,,
u_01572,purchase,2025-07-20 23:19:18,,,,8d4a0023-d4c1-4216-970a-30ed1a1a74fa,251.4
